0, en, 1, 1, 25, quicksin/List01Sentence01.wav, WHITESILK/WHITE WHITESILK/SILK JACKET ANY SHOES
0, en, 1, 2, 20, quicksin/List01Sentence02.wav, CHILD CRAWLED INTO DENSE GRASS
0, en, 1, 3, 15, quicksin/List01Sentence03.wav, FOOTPRINTS SHOWED PATH TOOK BEACH
0, en, 1, 4, 10, quicksin/List01Sentence04.wav, VENT/EVENT NEAR EDGE FRESH AIR
0, en, 1, 5, 5, quicksin/List01Sentence05.wav, BAND STEEL 3/THREE INCHES/IN WIDE
0, en, 1, 6, 0, quicksin/List01Sentence06.wav, WEIGHT PACKAGE SEEN HIGH SCALE
0, en, 2, 1, 25, quicksin/List02Sentence01.wav, TERA/TEAR/TARA THIN SHEET YELLOW PAD
0, en, 2, 2, 20, quicksin/List02Sentence02.wav, CRUISE WATERS SLEEK YACH/YACHT/YAUGHT FUN
0, en, 2, 3, 15, quicksin/List02Sentence03.wav, STREAK COLOR DOWN LEFT EDGE
0, en, 2, 4, 10, quicksin/List02Sentence04.wav, DONE BEFORE BOY SEE IT
0, en, 2, 5, 5, quicksin/List02Sentence05.wav, CROUCH BEFORE JUMP MISS MARK
0, en, 2, 6, 0, quicksin/List02Sentence06.wav, SQUARE PEG SETTLE ROUND HOLE
1, en, 3, 1, 25, quicksin/List03Sentence01.wav, PITCH STRAW THROUGH DOOR STABLE
1, en, 3, 2, 20, quicksin/List03Sentence02.wav, SINK THING WHICH PILE DISHES
1, en, 3, 3, 15, quicksin/List03Sentence03.wav, POST NO BILLS OFFICE WALL
1, en, 3, 4, 10, quicksin/List03Sentence04.wav, DIMES SHOWERED DOWN ALL SIDES
1, en, 3, 5, 5, quicksin/List03Sentence05.wav, PICK CARD SLIP UNDER PACK/PACT
1, en, 3, 6, 0, quicksin/List03Sentence06.wav, STORE JAMMED BEFORE SALE START
1, en, 4, 1, 25, quicksin/List04Sentence01.wav, SENSE SMELL BETTER THAN TOUCH
1, en, 4, 2, 20, quicksin/List04Sentence02.wav, PICKED UP DICE SECOND ROLL/ROLE
1, en, 4, 3, 15, quicksin/List04Sentence03.wav, DROP ASHES WARREN/WORN OLD RUG
1, en, 4, 4, 10, quicksin/List04Sentence04.wav, COUCH COVER HALL/HAUL DRAPES BLUE
1, en, 4, 5, 5, quicksin/List04Sentence05.wav, STEMS TALL GLASSES CRACKED BROKE
1, en, 4, 6, 0, quicksin/List04Sentence06.wav, CLEATS/CLEAT SANK DEEPLY SOFT TURF
1, en, 5, 1, 25, quicksin/List05Sentence01.wav, HAVE BETTER THAN WAIT HOPE
1, en, 5, 2, 20, quicksin/List05Sentence02.wav, SCREEN BEFORE FIRE KEPT SPARKS
1, en, 5, 3, 15, quicksin/List05Sentence03.wav, THICK GLASSES HELPED READ PRINT
1, en, 5, 4, 10, quicksin/List05Sentence04.wav, CHAIR LOOKED STRONG NO BOTTOM
1, en, 5, 5, 5, quicksin/List05Sentence05.wav, TOLD WILD TALES/TAILS FRIGHTEN HIM
1, en, 5, 6, 0, quicksin/List05Sentence06.wav, FORCE EQUAL WOULD MOVE EARTH
0, en, 6, 1, 25, quicksin/List06Sentence01.wav, LEAF DRIFTS ALONG SLOW SPIN
0, en, 6, 2, 20, quicksin/List06Sentence02.wav, PENCIL CUT SHARP BOTH ENDS
0, en, 6, 3, 15, quicksin/List06Sentence03.wav, DOWN ROAD WAY GRAIN FARMER
